"palavra","tipo"
"abiscoitaria","VB"
"abiscoitariam","VB"
"abiscoitarias","VB"
"abiscoitarmos","VB"
"abiscoitará","VB"
"abiscoitarás","VB"
"abiscoitarão","VB"
"abiscoitaríam","VB"
"abiscoitaríei","VB"
"abiscoitas","VB"
"abiscoitasse","VB"
"abiscoitassem","VB"
"abiscoitasses","VB"
"abiscoitaste","VB"
"abiscoitastes","VB"
"abiscoitava","VB"
"abiscoitavam","VB"
"abiscoitavas","VB"
"abiscoite","VB"
"abiscoitei","VB"
"abiscoiteis","VB"
"abiscoitem","VB"
"abiscoitemos","VB"
"abiscoites","VB"
"abiscoito","VB"
"abiscoitou","VB"
"abiscoitáramo","VB"
"abiscoitáreis","VB"
"abiscoitássei","VB"
"abiscoitássem","VB"
"abiscoitávamo","VB"
"abiscoitáveis","VB"
"abisma","VB"
"abismado","VP"
"abismai","VB"
"abismais","VB"
"abismam","VB"
"abismamos","VB"
"abismando","VB"
"abismar","VB"
"abismara","VB"
"abismaram","VB"
"abismaras","VB"
"abismardes","VB"
"abismarei","VB"
"abismareis","VB"
"abismarem","VB"
"abismaremos","VB"
"abismares","VB"
"abismaria","VB"
"abismariam","VB"
"abismarias","VB"
"abismarmos","VB"
"abismará","VB"
"abismarás","VB"
"abismarão","VB"
"abismaríamos","VB"
"abismaríeis","VB"
"abismas","VB"
"abismasse","VB"
"abismassem","VB"
"abismasses","VB"
"abismaste","VB"
"abismastes","VB"
"abismava","VB"
"abismavam","VB"
"abismavas","VB"
"abisme","VB"
"abismei","VB"
"abismeis","VB"
"abismem","VB"
"abismemos","VB"
"abismes","VB"
"abismo","VB"
"abismou","VB"
"abismáramos","VB"
"abismáreis","VB"
"abismásseis","VB"
"abismássemos","VB"
"abismávamos","VB"
"abismáveis","VB"
"abjura","VB"
"abjurado","VP"
"abjurai","VB"
"abjurais","VB"
"abjuram","VB"
"abjuramos","VB"
"abjurando","VB"
"abjurar","VB"
"abjurara","VB"
"abjuraram","VB"
"abjuraras","VB"
"abjurardes","VB"
"abjurarei","VB"
"abjurareis","VB"
"abjurarem","VB"
"abjuraremos","VB"
"abjurares","VB"
"abjuraria","VB"
"abjurariam","VB"
"abjurarias","VB"
"abjurarmos","VB"
"abjurará","VB"
"abjurarás","VB"
"abjurarão","VB"
"abjuraríamos","VB"
"abjuraríeis","VB"
"abjuras","VB"
"abjurasse","VB"
"abjurassem","VB"
"abjurasses","VB"
"abjuraste","VB"
"abjurastes","VB"
"abjurava","VB"
"abjuravam","VB"
"abjuravas","VB"
"abjure","VB"
"abjurei","VB"
"abjureis","VB"
"abjurem","VB"
"abjuremos","VB"
"abjures","VB"
"abjuro","VB"
"abjurou","VB"
"abjuráramos","VB"
"abjuráreis","VB"
"abjurásseis","VB"
"abjurássemos","VB"
"abjurávamos","VB"
"abjuráveis","VB"
"ablua","VB"
"abluais","VB"
"abluam","VB"
"abluamos","VB"
"abluas","VB"
"abluem","VB"
"ablui","VB"
"abluindo","VB"
"abluir","VB"
"abluirdes","VB"
"abluirei","VB"
"abluireis","VB"
"abluiremos","VB"
"abluiria","VB"
"abluiriam","VB"
"abluirias","VB"
"abluirmos","VB"
"abluirá","VB"
"abluirás","VB"
"abluirão","VB"
"abluiríamos","VB"
"abluiríeis","VB"
"abluis","VB"
"abluiu","VB"
"abluo","VB"
"abluí","VB"
"abluía","VB"
"abluíam","VB"
"abluíamos","VB"
"abluías","VB"
"abluído","VP"
"abluíeis","VB"
"abluímos","VB"
"abluíra","VB"
"abluíram","VB"
"abluíramos","VB"
"abluíras","VB"
"abluíreis","VB"
"abluírem","VB"
"abluíres","VB"
"abluís","VB"
"abluísse","VB"
"abluísseis","VB"
"abluíssem","VB"
"abluíssemos","VB"
"abluísses","VB"
"abluíste","VB"
"abluístes","VB"
"abnega","VB"
"abnegado","VP"
"abnegai","VB"
"abnegais","VB"
"abnegam","VB"
"abnegamos","VB"
"abnegando","VB"
"abnegar","VB"
"abnegara","VB"
"abnegaram","VB"
"abnegaras","VB"
"abnegardes","VB"
"abnegarei","VB"
"abnegareis","VB"
"abnegarem","VB"
"abnegaremos","VB"
"abnegares","VB"
"abnegaria","VB"
"abnegariam","VB"
"abnegarias","VB"
"abnegarmos","VB"
"abnegará","VB"
"abnegarás","VB"
"abnegarão","VB"
"abnegaríamos","VB"
"abnegaríeis","VB"
"abnegas","VB"
"abnegasse","VB"
"abnegassem","VB"
"abnegasses","VB"
"abnegaste","VB"
"abnegastes","VB"
"abnegava","VB"
"abnegavam","VB"
"abnegavas","VB"
"abnego","VB"
"abnegou","VB"
"abnegue","VB"
"abneguei","VB"
"abnegueis","VB"
"abneguem","VB"
"abneguemos","VB"
"abnegues","VB"
"abnegáramos","VB"
"abnegáreis","VB"
"abnegásseis","VB"
"abnegássemos","VB"
"abnegávamos","VB"
"abnegáveis","VB"
"abobada","VB"
"abobadado","VP"
"abobadai","VB"
"abobadais","VB"
"abobadam","VB"
"abobadamos","VB"
"abobadando","VB"
"abobadar","VB"
"abobadara","VB"
"abobadaram","VB"
"abobadaras","VB"
"abobadardes","VB"
"abobadarei","VB"
"abobadareis","VB"
"abobadarem","VB"
"abobadaremos","VB"
"abobadares","VB"
"abobadaria","VB"
"abobadariam","VB"
"abobadarias","VB"
"abobadarmos","VB"
"abobadará","VB"
"abobadarás","VB"
"abobadarão","VB"
"abobadaríamos","VB"
"abobadaríeis","VB"
"abobadas","VB"
"abobadasse","VB"
"abobadassem","VB"
"abobadasses","VB"
"abobadaste","VB"
"abobadastes","VB"
"abobadava","VB"
"abobadavam","VB"
"abobadavas","VB"
"abobade","VB"
"abobadei","VB"
"abobadeis","VB"
"abobadem","VB"
"abobademos","VB"
"abobades","VB"
"abobado","VB"
"abobadou","VB"
"abobadáramos","VB"
"abobadáreis","VB"
"abobadásseis","VB"
"abobadássemos","VB"
"abobadávamos","VB"
"abobadáveis","VB"
"abocanha","VB"
"abocanhado","VP"
"abocanhai","VB"
"abocanhais","VB"
"abocanham","VB"
"abocanhamos","VB"
"abocanhando","VB"
"abocanhar","VB"
"abocanhara","VB"
"abocanharam","VB"
"abocanharas","VB"
"abocanhardes","VB"
"abocanharei","VB"
"abocanhareis","VB"
"abocanharem","VB"
"abocanharemos","VB"
"abocanhares","VB"
"abocanharia","VB"
"abocanhariam","VB"
"abocanharias","VB"
"abocanharmos","VB"
"abocanhará","VB"
"abocanharás","VB"
"abocanharão","VB"
"abocanharíamo","VB"
"abocanharíeis","VB"
"abocanhas","VB"
"abocanhasse","VB"
"abocanhassem","VB"
"abocanhasses","VB"
"abocanhaste","VB"
"abocanhastes","VB"
"abocanhava","VB"
"abocanhavam","VB"
"abocanhavas","VB"
"abocanhe","VB"
"abocanhei","VB"
"abocanheis","VB"
"abocanhem","VB"
"abocanhemos","VB"
"abocanhes","VB"
"abocanho","VB"
"abocanhou","VB"
"abocanháramos","VB"
"abocanháreis","VB"
"abocanhásseis","VB"
"abocanhássemo","VB"
"abocanhávamos","VB"
"abocanháveis","VB"
"abole","VB"
"abolem","VB"
"aboles","VB"
"aboleta","VB"
"aboletado","VP"
"aboletai","VB"
"aboletais","VB"
"aboletam","VB"
"aboletamos","VB"
"aboletando","VB"
"aboletar","VB"
"aboletara","VB"
"aboletaram","VB"
"aboletaras","VB"
"aboletardes","VB"
"aboletarei","VB"
"aboletareis","VB"
"aboletarem","VB"
"aboletaremos","VB"
"aboletares","VB"
"aboletaria","VB"
"aboletariam","VB"
"aboletarias","VB"
"aboletarmos","VB"
"aboletará","VB"
"aboletarás","VB"
"aboletarão","VB"
"aboletaríamos","VB"
"aboletaríeis","VB"
"aboletas","VB"
"aboletasse","VB"
"aboletassem","VB"
"aboletasses","VB"
"aboletaste","VB"
"aboletastes","VB"
"aboletava","VB"
"aboletavam","VB"
"aboletavas","VB"
"abolete","VB"
"aboletei","VB"
"aboleteis","VB"
"aboletem","VB"
"aboletemos","VB"
"aboletes","VB"
"aboleto","VB"
"aboletou","VB"
"aboletáramos","VB"
"aboletáreis","VB"
"aboletásseis","VB"
"aboletássemos","VB"
"aboletávamos","VB"
"aboletáveis","VB"
"aboli","VB"
"abolia","VB"
"aboliam","VB"
"abolias","VB"
"abolido","VP"
"abolimos","VB"
"abolindo","VB"
"abolir","VB"
"abolira","VB"
"aboliram","VB"
"aboliras","VB"
"abolirdes","VB"
"abolirei","VB"
"abolireis","VB"
"abolirem","VB"
"aboliremos","VB"
"abolires","VB"
"aboliria","VB"
